#ies_format_version: 1.0
#file: 20250312_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	SHORT,7. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250312;	100204;	1741753924.000;	   err7
20250312;	100208;	1741753928.000;	      0
20250312;	100212;	1741753932.000;	   1235
20250312;	100216;	1741753936.000;	   1236
20250312;	100220;	1741753940.000;	   1237
20250312;	100224;	1741753944.000;	   1238
20250312;	100228;	1741753948.000;	   1238
20250312;	100232;	1741753952.000;	   1239
20250312;	100236;	1741753956.000;	   1240
20250312;	100240;	1741753960.000;	   1241
20250312;	100244;	1741753964.000;	   1242
20250312;	100248;	1741753968.000;	   1242
20250312;	100252;	1741753972.000;	   1243
20250312;	100256;	1741753976.000;	   1244
20250312;	100300;	1741753980.000;	   1245
20250312;	100304;	1741753984.000;	   1246
20250312;	100308;	1741753988.000;	   1246
20250312;	100312;	1741753992.000;	   1247
20250312;	100316;	1741753996.000;	   1248
20250312;	100320;	1741754000.000;	   1249
20250312;	100324;	1741754004.000;	   1250
20250312;	100328;	1741754008.000;	   1250
20250312;	100332;	1741754012.000;	   1251
20250312;	100336;	1741754016.000;	   1252
20250312;	100340;	1741754020.000;	   1253
20250312;	100344;	1741754024.000;	   1254
20250312;	100348;	1741754028.000;	   1254
20250312;	100352;	1741754032.000;	   1255
20250312;	100356;	1741754036.000;	   1256
20250312;	100400;	1741754040.000;	   1257
20250312;	100404;	1741754044.000;	   1258
20250312;	100408;	1741754048.000;	   1258
20250312;	100412;	1741754052.000;	   1259
20250312;	100416;	1741754056.000;	   1260
20250312;	100420;	1741754060.000;	   1260
20250312;	100424;	1741754064.000;	   1260
20250312;	100428;	1741754068.000;	   1260
20250312;	100432;	1741754072.000;	   1260
20250312;	100436;	1741754076.000;	   err7
20250312;	100440;	1741754080.000;	   err9
20250312;	100444;	1741754084.000;	   err9
20250312;	100448;	1741754088.000;	   err9
20250312;	100452;	1741754092.000;	   err9
20250312;	100456;	1741754096.000;	   err9
20250312;	100500;	1741754100.000;	   err9
20250312;	100504;	1741754104.000;	   err9
20250312;	100508;	1741754108.000;	   err9
20250312;	100512;	1741754112.000;	   err9
20250312;	100516;	1741754116.000;	   err9
20250312;	100520;	1741754120.000;	   err9
20250312;	100524;	1741754124.000;	   err9
20250312;	100528;	1741754128.000;	   err9
20250312;	100532;	1741754132.000;	   err9
20250312;	100536;	1741754136.000;	   err9
20250312;	100540;	1741754140.000;	   err9
20250312;	100544;	1741754144.000;	   err9
20250312;	100548;	1741754148.000;	   err9
20250312;	100552;	1741754152.000;	   err9
20250312;	100556;	1741754156.000;	   err9
20250312;	100600;	1741754160.000;	   err9
20250312;	100604;	1741754164.000;	   err9
20250312;	100608;	1741754168.000;	   err9
20250312;	100612;	1741754172.000;	   err9
20250312;	100616;	1741754176.000;	   err9
20250312;	100620;	1741754180.000;	   err9
20250312;	100624;	1741754184.000;	   err9
20250312;	100628;	1741754188.000;	   err9
20250312;	100632;	1741754192.000;	   err9
20250312;	100636;	1741754196.000;	  err32
