#ies_format_version: 1.0
#file: 20250312_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	SHORT,7. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250312;	100640;	1741754200.000;	   err9
20250312;	100644;	1741754204.000;	   err9
20250312;	100648;	1741754208.000;	  err32
20250312;	100652;	1741754212.000;	  err32
20250312;	100656;	1741754216.000;	  err32
20250312;	100700;	1741754220.000;	  err32
20250312;	100704;	1741754224.000;	  err32
20250312;	100708;	1741754228.000;	   err9
20250312;	100712;	1741754232.000;	   err9
20250312;	100716;	1741754236.000;	  err17
20250312;	100720;	1741754240.000;	  err17
20250312;	100724;	1741754244.000;	  err17
20250312;	100728;	1741754248.000;	  err17
20250312;	100732;	1741754252.000;	  err17
20250312;	100736;	1741754256.000;	  err17
20250312;	100740;	1741754260.000;	  err17
20250312;	100744;	1741754264.000;	  err17
20250312;	100748;	1741754268.000;	  err17
20250312;	100752;	1741754272.000;	  err32
20250312;	100756;	1741754276.000;	  err32
20250312;	100800;	1741754280.000;	  err32
20250312;	100804;	1741754284.000;	  err32
20250312;	100808;	1741754288.000;	  err32
20250312;	100812;	1741754292.000;	  err32
20250312;	100816;	1741754296.000;	  err32
20250312;	100820;	1741754300.000;	  err32
20250312;	100824;	1741754304.000;	   err9
20250312;	100828;	1741754308.000;	  err17
20250312;	100832;	1741754312.000;	  err17
20250312;	100836;	1741754316.000;	  err17
20250312;	100840;	1741754320.000;	  err17
20250312;	100844;	1741754324.000;	  err17
20250312;	100848;	1741754328.000;	  err17
20250312;	100852;	1741754332.000;	  err17
20250312;	100856;	1741754336.000;	  err17
20250312;	100900;	1741754340.000;	  err17
20250312;	100904;	1741754344.000;	  err17
20250312;	100908;	1741754348.000;	  err17
20250312;	100912;	1741754352.000;	  err17
20250312;	100916;	1741754356.000;	  err17
20250312;	100920;	1741754360.000;	  err17
20250312;	100924;	1741754364.000;	      0
20250312;	100928;	1741754368.000;	   1247
20250312;	100932;	1741754372.000;	   1248
20250312;	100936;	1741754376.000;	   1248
20250312;	100940;	1741754380.000;	   1249
20250312;	100944;	1741754384.000;	   1250
20250312;	100948;	1741754388.000;	   1251
20250312;	100952;	1741754392.000;	   1252
20250312;	100956;	1741754396.000;	   1252
20250312;	101000;	1741754400.000;	   1253
20250312;	101004;	1741754404.000;	  err32
20250312;	101008;	1741754408.000;	  err32
20250312;	101012;	1741754412.000;	  err32
20250312;	101016;	1741754416.000;	  err32
20250312;	101020;	1741754420.000;	  err32
20250312;	101024;	1741754424.000;	  err32
20250312;	101028;	1741754428.000;	  err32
20250312;	101032;	1741754432.000;	  err32
20250312;	101036;	1741754436.000;	  err32
20250312;	101040;	1741754440.000;	  err32
20250312;	101044;	1741754444.000;	  err32
20250312;	101048;	1741754448.000;	  err32
20250312;	101052;	1741754452.000;	  err32
20250312;	101056;	1741754456.000;	  err32
20250312;	101100;	1741754460.000;	  err32
20250312;	101104;	1741754464.000;	  err32
20250312;	101108;	1741754468.000;	  err32
20250312;	101112;	1741754472.000;	  err32
20250312;	101116;	1741754476.000;	  err32
20250312;	101120;	1741754480.000;	  err32
20250312;	101124;	1741754484.000;	  err32
20250312;	101128;	1741754488.000;	  err32
20250312;	101132;	1741754492.000;	  err32
20250312;	101136;	1741754496.000;	  err32
20250312;	101140;	1741754500.000;	  err32
20250312;	101144;	1741754504.000;	  err32
20250312;	101148;	1741754508.000;	  err32
20250312;	101152;	1741754512.000;	  err32
20250312;	101156;	1741754516.000;	  err32
20250312;	101200;	1741754520.000;	  err32
20250312;	101204;	1741754524.000;	  err32
20250312;	101208;	1741754528.000;	  err32
20250312;	101212;	1741754532.000;	  err32
20250312;	101216;	1741754536.000;	  err32
20250312;	101220;	1741754540.000;	  err32
20250312;	101224;	1741754544.000;	  err32
20250312;	101228;	1741754548.000;	  err32
20250312;	101232;	1741754552.000;	  err32
20250312;	101236;	1741754556.000;	  err32
20250312;	101240;	1741754560.000;	  err32
20250312;	101244;	1741754564.000;	  err32
20250312;	101248;	1741754568.000;	  err32
20250312;	101252;	1741754572.000;	  err32
20250312;	101256;	1741754576.000;	  err32
20250312;	101300;	1741754580.000;	  err32
20250312;	101304;	1741754584.000;	  err32
20250312;	101308;	1741754588.000;	  err32
20250312;	101312;	1741754592.000;	  err32
20250312;	101316;	1741754596.000;	  err32
20250312;	101320;	1741754600.000;	  err32
20250312;	101324;	1741754604.000;	  err32
20250312;	101328;	1741754608.000;	  err32
20250312;	101332;	1741754612.000;	  err32
20250312;	101336;	1741754616.000;	  err32
20250312;	101340;	1741754620.000;	  err32
20250312;	101344;	1741754624.000;	  err32
20250312;	101348;	1741754628.000;	  err32
20250312;	101352;	1741754632.000;	  err32
20250312;	101356;	1741754636.000;	  err32
20250312;	101400;	1741754640.000;	  err32
20250312;	101404;	1741754644.000;	  err32
20250312;	101408;	1741754648.000;	  err32
20250312;	101412;	1741754652.000;	  err32
20250312;	101416;	1741754656.000;	  err32
20250312;	101420;	1741754660.000;	  err32
20250312;	101424;	1741754664.000;	  err32
20250312;	101428;	1741754668.000;	  err32
20250312;	101432;	1741754672.000;	  err32
20250312;	101436;	1741754676.000;	  err32
20250312;	101440;	1741754680.000;	  err32
20250312;	101444;	1741754684.000;	  err32
20250312;	101448;	1741754688.000;	  err32
20250312;	101452;	1741754692.000;	  err32
20250312;	101456;	1741754696.000;	  err32
20250312;	101500;	1741754700.000;	  err32
20250312;	101504;	1741754704.000;	  err32
20250312;	101508;	1741754708.000;	  err32
20250312;	101512;	1741754712.000;	  err32
20250312;	101516;	1741754716.000;	  err32
20250312;	101520;	1741754720.000;	  err32
20250312;	101524;	1741754724.000;	  err32
20250312;	101528;	1741754728.000;	  err32
20250312;	101532;	1741754732.000;	  err32
20250312;	101536;	1741754736.000;	  err32
20250312;	101540;	1741754740.000;	  err32
20250312;	101544;	1741754744.000;	  err32
20250312;	101548;	1741754748.000;	  err32
20250312;	101552;	1741754752.000;	  err32
20250312;	101556;	1741754756.000;	  err32
20250312;	101600;	1741754760.000;	  err32
20250312;	101604;	1741754764.000;	  err32
20250312;	101608;	1741754768.000;	  err32
20250312;	101612;	1741754772.000;	  err32
20250312;	101616;	1741754776.000;	  err32
20250312;	101620;	1741754780.000;	  err32
20250312;	101624;	1741754784.000;	  err32
20250312;	101628;	1741754788.000;	  err32
20250312;	101632;	1741754792.000;	  err32
20250312;	101636;	1741754796.000;	  err32
20250312;	101640;	1741754800.000;	  err32
20250312;	101644;	1741754804.000;	  err32
20250312;	101648;	1741754808.000;	  err32
20250312;	101652;	1741754812.000;	  err32
20250312;	101656;	1741754816.000;	  err32
20250312;	101700;	1741754820.000;	  err32
20250312;	101704;	1741754824.000;	  err32
20250312;	101708;	1741754828.000;	  err32
20250312;	101712;	1741754832.000;	  err32
20250312;	101716;	1741754836.000;	  err32
20250312;	101720;	1741754840.000;	  err32
20250312;	101724;	1741754844.000;	  err32
20250312;	101728;	1741754848.000;	  err32
20250312;	101732;	1741754852.000;	  err32
20250312;	101736;	1741754856.000;	  err32
20250312;	101740;	1741754860.000;	  err32
20250312;	101744;	1741754864.000;	  err32
20250312;	101748;	1741754868.000;	  err32
20250312;	101752;	1741754872.000;	  err32
20250312;	101756;	1741754876.000;	  err32
20250312;	101800;	1741754880.000;	  err32
20250312;	101804;	1741754884.000;	  err32
20250312;	101808;	1741754888.000;	  err32
20250312;	101812;	1741754892.000;	  err32
20250312;	101816;	1741754896.000;	  err32
20250312;	101820;	1741754900.000;	  err32
20250312;	101824;	1741754904.000;	  err32
20250312;	101828;	1741754908.000;	  err32
20250312;	101832;	1741754912.000;	  err32
20250312;	101836;	1741754916.000;	  err32
20250312;	101840;	1741754920.000;	  err32
20250312;	101844;	1741754924.000;	  err32
20250312;	101848;	1741754928.000;	  err32
20250312;	101852;	1741754932.000;	  err32
20250312;	101856;	1741754936.000;	  err32
20250312;	101900;	1741754940.000;	  err32
20250312;	101904;	1741754944.000;	  err32
20250312;	101908;	1741754948.000;	  err32
20250312;	101912;	1741754952.000;	  err32
20250312;	101916;	1741754956.000;	  err32
20250312;	101920;	1741754960.000;	  err32
20250312;	101924;	1741754964.000;	  err32
20250312;	101928;	1741754968.000;	  err32
20250312;	101932;	1741754972.000;	  err32
20250312;	101936;	1741754976.000;	  err32
20250312;	101940;	1741754980.000;	  err32
20250312;	101944;	1741754984.000;	  err32
20250312;	101948;	1741754988.000;	  err32
20250312;	101952;	1741754992.000;	  err32
20250312;	101956;	1741754996.000;	  err32
20250312;	102000;	1741755000.000;	  err32
20250312;	102004;	1741755004.000;	  err32
20250312;	102008;	1741755008.000;	  err32
20250312;	102012;	1741755012.000;	  err32
20250312;	102016;	1741755016.000;	  err32
20250312;	102020;	1741755020.000;	  err32
20250312;	102024;	1741755024.000;	  err32
20250312;	102028;	1741755028.000;	  err32
20250312;	102032;	1741755032.000;	  err32
20250312;	102036;	1741755036.000;	  err32
20250312;	102040;	1741755040.000;	  err32
20250312;	102044;	1741755044.000;	  err32
20250312;	102048;	1741755048.000;	  err32
20250312;	102052;	1741755052.000;	  err32
20250312;	102056;	1741755056.000;	  err32
20250312;	102100;	1741755060.000;	  err32
20250312;	102104;	1741755064.000;	  err32
20250312;	102108;	1741755068.000;	  err32
20250312;	102112;	1741755072.000;	  err32
20250312;	102116;	1741755076.000;	  err32
20250312;	102120;	1741755080.000;	  err32
20250312;	102124;	1741755084.000;	  err32
20250312;	102128;	1741755088.000;	  err32
20250312;	102132;	1741755092.000;	  err32
20250312;	102136;	1741755096.000;	  err32
20250312;	102140;	1741755100.000;	  err32
20250312;	102144;	1741755104.000;	  err32
20250312;	102148;	1741755108.000;	  err32
20250312;	102152;	1741755112.000;	  err32
20250312;	102156;	1741755116.000;	  err32
20250312;	102200;	1741755120.000;	  err32
20250312;	102204;	1741755124.000;	  err32
20250312;	102208;	1741755128.000;	  err32
20250312;	102212;	1741755132.000;	  err32
20250312;	102216;	1741755136.000;	  err32
20250312;	102220;	1741755140.000;	  err32
20250312;	102224;	1741755144.000;	  err32
20250312;	102228;	1741755148.000;	  err32
20250312;	102232;	1741755152.000;	  err32
20250312;	102236;	1741755156.000;	  err32
20250312;	102240;	1741755160.000;	  err32
20250312;	102244;	1741755164.000;	  err32
20250312;	102248;	1741755168.000;	  err32
20250312;	102252;	1741755172.000;	  err32
20250312;	102256;	1741755176.000;	  err32
20250312;	102300;	1741755180.000;	  err32
20250312;	102304;	1741755184.000;	  err32
20250312;	102308;	1741755188.000;	  err32
20250312;	102312;	1741755192.000;	  err32
20250312;	102316;	1741755196.000;	  err32
20250312;	102320;	1741755200.000;	  err32
20250312;	102324;	1741755204.000;	  err32
20250312;	102328;	1741755208.000;	  err32
20250312;	102332;	1741755212.000;	  err32
20250312;	102336;	1741755216.000;	  err32
20250312;	102340;	1741755220.000;	  err32
20250312;	102344;	1741755224.000;	  err32
20250312;	102348;	1741755228.000;	  err32
20250312;	102352;	1741755232.000;	  err32
20250312;	102356;	1741755236.000;	  err32
20250312;	102400;	1741755240.000;	  err32
20250312;	102404;	1741755244.000;	  err32
20250312;	102408;	1741755248.000;	  err32
20250312;	102412;	1741755252.000;	  err32
20250312;	102416;	1741755256.000;	  err32
20250312;	102420;	1741755260.000;	  err32
20250312;	102424;	1741755264.000;	  err32
20250312;	102428;	1741755268.000;	  err32
20250312;	102432;	1741755272.000;	  err32
20250312;	102436;	1741755276.000;	  err32
20250312;	102440;	1741755280.000;	  err32
20250312;	102444;	1741755284.000;	  err32
20250312;	102448;	1741755288.000;	  err32
20250312;	102452;	1741755292.000;	  err32
20250312;	102456;	1741755296.000;	  err32
20250312;	102500;	1741755300.000;	  err32
20250312;	102504;	1741755304.000;	  err32
20250312;	102508;	1741755308.000;	  err32
20250312;	102512;	1741755312.000;	  err32
20250312;	102516;	1741755316.000;	  err32
20250312;	102520;	1741755320.000;	  err32
20250312;	102524;	1741755324.000;	  err32
20250312;	102528;	1741755328.000;	  err32
20250312;	102532;	1741755332.000;	  err32
20250312;	102536;	1741755336.000;	  err32
20250312;	102540;	1741755340.000;	  err32
20250312;	102544;	1741755344.000;	  err32
20250312;	102548;	1741755348.000;	  err32
20250312;	102552;	1741755352.000;	  err32
20250312;	102556;	1741755356.000;	  err32
20250312;	102600;	1741755360.000;	  err32
20250312;	102604;	1741755364.000;	  err32
20250312;	102608;	1741755368.000;	  err32
20250312;	102612;	1741755372.000;	  err32
20250312;	102616;	1741755376.000;	  err32
20250312;	102620;	1741755380.000;	  err32
20250312;	102624;	1741755384.000;	  err32
20250312;	102628;	1741755388.000;	  err32
20250312;	102632;	1741755392.000;	  err32
20250312;	102636;	1741755396.000;	  err32
20250312;	102640;	1741755400.000;	  err32
20250312;	102644;	1741755404.000;	  err32
20250312;	102648;	1741755408.000;	  err32
20250312;	102652;	1741755412.000;	  err32
20250312;	102656;	1741755416.000;	  err32
20250312;	102700;	1741755420.000;	  err32
20250312;	102704;	1741755424.000;	  err32
20250312;	102708;	1741755428.000;	  err32
20250312;	102712;	1741755432.000;	  err32
20250312;	102716;	1741755436.000;	  err32
20250312;	102720;	1741755440.000;	  err32
20250312;	102724;	1741755444.000;	  err32
20250312;	102728;	1741755448.000;	  err32
20250312;	102732;	1741755452.000;	  err32
20250312;	102736;	1741755456.000;	  err32
20250312;	102740;	1741755460.000;	  err32
20250312;	102744;	1741755464.000;	  err32
20250312;	102748;	1741755468.000;	  err32
20250312;	102752;	1741755472.000;	  err32
20250312;	102756;	1741755476.000;	  err32
20250312;	102800;	1741755480.000;	  err32
20250312;	102804;	1741755484.000;	  err32
20250312;	102808;	1741755488.000;	  err32
20250312;	102812;	1741755492.000;	  err32
20250312;	102816;	1741755496.000;	  err32
20250312;	102820;	1741755500.000;	  err32
20250312;	102824;	1741755504.000;	  err32
20250312;	102828;	1741755508.000;	  err32
20250312;	102832;	1741755512.000;	  err32
20250312;	102836;	1741755516.000;	  err32
20250312;	102840;	1741755520.000;	  err32
20250312;	102844;	1741755524.000;	  err32
20250312;	102848;	1741755528.000;	  err32
20250312;	102852;	1741755532.000;	  err32
20250312;	102856;	1741755536.000;	  err32
20250312;	102900;	1741755540.000;	  err32
20250312;	102904;	1741755544.000;	  err32
20250312;	102908;	1741755548.000;	  err32
20250312;	102912;	1741755552.000;	  err32
20250312;	102916;	1741755556.000;	  err32
20250312;	102920;	1741755560.000;	  err32
20250312;	102924;	1741755564.000;	  err32
20250312;	102928;	1741755568.000;	  err32
20250312;	102932;	1741755572.000;	  err32
20250312;	102936;	1741755576.000;	  err32
20250312;	102940;	1741755580.000;	  err32
20250312;	102944;	1741755584.000;	  err32
20250312;	102948;	1741755588.000;	  err32
20250312;	102952;	1741755592.000;	  err32
20250312;	102956;	1741755596.000;	  err32
20250312;	103000;	1741755600.000;	  err32
20250312;	103004;	1741755604.000;	  err32
20250312;	103008;	1741755608.000;	  err32
20250312;	103012;	1741755612.000;	  err32
20250312;	103016;	1741755616.000;	  err32
20250312;	103020;	1741755620.000;	  err32
20250312;	103024;	1741755624.000;	  err32
20250312;	103028;	1741755628.000;	  err32
20250312;	103032;	1741755632.000;	  err32
20250312;	103036;	1741755636.000;	  err32
20250312;	103040;	1741755640.000;	  err32
20250312;	103044;	1741755644.000;	  err32
20250312;	103048;	1741755648.000;	  err32
20250312;	103052;	1741755652.000;	  err32
20250312;	103056;	1741755656.000;	  err32
20250312;	103100;	1741755660.000;	  err32
20250312;	103104;	1741755664.000;	  err32
20250312;	103108;	1741755668.000;	  err32
20250312;	103112;	1741755672.000;	  err32
20250312;	103116;	1741755676.000;	  err32
20250312;	103120;	1741755680.000;	  err32
20250312;	103124;	1741755684.000;	  err32
20250312;	103128;	1741755688.000;	  err32
20250312;	103132;	1741755692.000;	  err32
20250312;	103136;	1741755696.000;	  err32
20250312;	103140;	1741755700.000;	  err32
20250312;	103144;	1741755704.000;	  err32
20250312;	103148;	1741755708.000;	  err32
20250312;	103152;	1741755712.000;	  err32
20250312;	103156;	1741755716.000;	  err32
20250312;	103200;	1741755720.000;	  err32
20250312;	103204;	1741755724.000;	  err32
20250312;	103208;	1741755728.000;	  err32
20250312;	103212;	1741755732.000;	  err32
20250312;	103216;	1741755736.000;	  err32
20250312;	103220;	1741755740.000;	  err32
20250312;	103224;	1741755744.000;	  err32
20250312;	103228;	1741755748.000;	  err32
20250312;	103232;	1741755752.000;	  err32
20250312;	103236;	1741755756.000;	  err32
20250312;	103240;	1741755760.000;	  err32
20250312;	103244;	1741755764.000;	  err32
20250312;	103248;	1741755768.000;	  err32
20250312;	103252;	1741755772.000;	  err32
20250312;	103256;	1741755776.000;	  err32
20250312;	103300;	1741755780.000;	  err32
20250312;	103304;	1741755784.000;	  err32
20250312;	103308;	1741755788.000;	  err32
20250312;	103312;	1741755792.000;	  err32
20250312;	103316;	1741755796.000;	  err32
20250312;	103320;	1741755800.000;	  err32
20250312;	103324;	1741755804.000;	  err32
20250312;	103328;	1741755808.000;	  err32
20250312;	103332;	1741755812.000;	  err32
20250312;	103336;	1741755816.000;	  err32
20250312;	103340;	1741755820.000;	  err32
20250312;	103344;	1741755824.000;	  err32
20250312;	103348;	1741755828.000;	  err32
20250312;	103352;	1741755832.000;	  err32
20250312;	103356;	1741755836.000;	  err32
20250312;	103400;	1741755840.000;	  err32
20250312;	103404;	1741755844.000;	  err32
20250312;	103408;	1741755848.000;	  err32
20250312;	103412;	1741755852.000;	  err32
20250312;	103416;	1741755856.000;	  err32
20250312;	103420;	1741755860.000;	  err32
20250312;	103424;	1741755864.000;	  err32
20250312;	103428;	1741755868.000;	  err32
20250312;	103432;	1741755872.000;	  err32
20250312;	103436;	1741755876.000;	  err32
20250312;	103440;	1741755880.000;	  err32
20250312;	103444;	1741755884.000;	  err32
20250312;	103448;	1741755888.000;	  err32
20250312;	103452;	1741755892.000;	  err32
20250312;	103456;	1741755896.000;	  err32
20250312;	103500;	1741755900.000;	  err32
20250312;	103504;	1741755904.000;	  err32
20250312;	103508;	1741755908.000;	  err32
20250312;	103512;	1741755912.000;	  err32
20250312;	103516;	1741755916.000;	  err32
20250312;	103520;	1741755920.000;	  err32
20250312;	103524;	1741755924.000;	  err32
20250312;	103528;	1741755928.000;	  err32
20250312;	103532;	1741755932.000;	  err32
20250312;	103536;	1741755936.000;	  err32
20250312;	103540;	1741755940.000;	  err32
20250312;	103544;	1741755944.000;	  err32
20250312;	103548;	1741755948.000;	  err32
20250312;	103552;	1741755952.000;	  err32
20250312;	103556;	1741755956.000;	  err32
20250312;	103600;	1741755960.000;	  err32
20250312;	103604;	1741755964.000;	  err32
20250312;	103608;	1741755968.000;	  err32
20250312;	103612;	1741755972.000;	  err32
20250312;	103616;	1741755976.000;	  err32
20250312;	103620;	1741755980.000;	  err32
20250312;	103624;	1741755984.000;	  err32
20250312;	103628;	1741755988.000;	  err32
20250312;	103632;	1741755992.000;	  err32
20250312;	103636;	1741755996.000;	  err32
20250312;	103640;	1741756000.000;	  err32
20250312;	103644;	1741756004.000;	  err32
20250312;	103648;	1741756008.000;	  err32
20250312;	103652;	1741756012.000;	  err32
20250312;	103656;	1741756016.000;	  err32
20250312;	103700;	1741756020.000;	  err32
20250312;	103704;	1741756024.000;	  err32
20250312;	103708;	1741756028.000;	  err32
20250312;	103712;	1741756032.000;	  err32
20250312;	103716;	1741756036.000;	  err32
20250312;	103720;	1741756040.000;	  err32
20250312;	103724;	1741756044.000;	  err32
20250312;	103728;	1741756048.000;	  err32
20250312;	103732;	1741756052.000;	  err32
20250312;	103736;	1741756056.000;	  err32
20250312;	103740;	1741756060.000;	  err32
20250312;	103744;	1741756064.000;	  err32
20250312;	103748;	1741756068.000;	  err32
20250312;	103752;	1741756072.000;	  err32
20250312;	103756;	1741756076.000;	  err32
20250312;	103800;	1741756080.000;	  err32
20250312;	103804;	1741756084.000;	  err32
20250312;	103808;	1741756088.000;	  err32
20250312;	103812;	1741756092.000;	  err32
20250312;	103816;	1741756096.000;	  err32
20250312;	103820;	1741756100.000;	  err32
20250312;	103824;	1741756104.000;	  err32
20250312;	103828;	1741756108.000;	  err32
20250312;	103832;	1741756112.000;	  err32
20250312;	103836;	1741756116.000;	  err32
20250312;	103840;	1741756120.000;	  err32
20250312;	103844;	1741756124.000;	  err32
20250312;	103848;	1741756128.000;	  err32
20250312;	103852;	1741756132.000;	  err32
20250312;	103856;	1741756136.000;	  err32
20250312;	103900;	1741756140.000;	  err32
20250312;	103904;	1741756144.000;	  err32
20250312;	103908;	1741756148.000;	  err32
20250312;	103912;	1741756152.000;	  err32
20250312;	103916;	1741756156.000;	  err32
20250312;	103920;	1741756160.000;	  err32
20250312;	103924;	1741756164.000;	  err32
20250312;	103928;	1741756168.000;	  err32
20250312;	103932;	1741756172.000;	  err32
20250312;	103936;	1741756176.000;	  err32
20250312;	103940;	1741756180.000;	  err32
20250312;	103944;	1741756184.000;	  err32
20250312;	103948;	1741756188.000;	  err32
20250312;	103952;	1741756192.000;	  err32
20250312;	103956;	1741756196.000;	  err32
20250312;	104000;	1741756200.000;	  err32
20250312;	104004;	1741756204.000;	  err32
20250312;	104008;	1741756208.000;	  err32
20250312;	104012;	1741756212.000;	  err32
20250312;	104016;	1741756216.000;	  err32
20250312;	104020;	1741756220.000;	  err32
20250312;	104024;	1741756224.000;	  err32
20250312;	104028;	1741756228.000;	  err32
20250312;	104032;	1741756232.000;	  err32
20250312;	104036;	1741756236.000;	  err32
20250312;	104040;	1741756240.000;	  err32
20250312;	104044;	1741756244.000;	  err32
20250312;	104048;	1741756248.000;	  err32
20250312;	104052;	1741756252.000;	  err32
20250312;	104056;	1741756256.000;	  err32
20250312;	104100;	1741756260.000;	  err32
20250312;	104104;	1741756264.000;	  err32
20250312;	104108;	1741756268.000;	  err32
20250312;	104112;	1741756272.000;	  err32
20250312;	104116;	1741756276.000;	  err32
20250312;	104120;	1741756280.000;	  err32
20250312;	104124;	1741756284.000;	  err32
20250312;	104128;	1741756288.000;	  err32
20250312;	104132;	1741756292.000;	  err32
20250312;	104136;	1741756296.000;	  err32
20250312;	104140;	1741756300.000;	  err32
20250312;	104144;	1741756304.000;	  err32
20250312;	104148;	1741756308.000;	  err32
20250312;	104152;	1741756312.000;	  err32
20250312;	104156;	1741756316.000;	  err32
20250312;	104200;	1741756320.000;	  err32
20250312;	104204;	1741756324.000;	  err32
20250312;	104208;	1741756328.000;	  err32
20250312;	104212;	1741756332.000;	  err32
20250312;	104216;	1741756336.000;	  err32
20250312;	104220;	1741756340.000;	  err32
20250312;	104224;	1741756344.000;	  err32
20250312;	104228;	1741756348.000;	  err32
20250312;	104232;	1741756352.000;	  err32
20250312;	104236;	1741756356.000;	  err32
20250312;	104240;	1741756360.000;	  err32
20250312;	104244;	1741756364.000;	  err32
20250312;	104248;	1741756368.000;	  err32
20250312;	104252;	1741756372.000;	  err32
20250312;	104256;	1741756376.000;	  err32
20250312;	104300;	1741756380.000;	  err32
20250312;	104304;	1741756384.000;	  err32
20250312;	104308;	1741756388.000;	  err32
20250312;	104312;	1741756392.000;	  err32
20250312;	104316;	1741756396.000;	  err32
20250312;	104320;	1741756400.000;	  err32
20250312;	104324;	1741756404.000;	  err32
20250312;	104328;	1741756408.000;	  err32
20250312;	104332;	1741756412.000;	  err32
20250312;	104336;	1741756416.000;	  err32
20250312;	104340;	1741756420.000;	  err32
20250312;	104344;	1741756424.000;	  err32
20250312;	104348;	1741756428.000;	  err32
20250312;	104352;	1741756432.000;	  err32
20250312;	104356;	1741756436.000;	  err32
20250312;	104400;	1741756440.000;	  err32
20250312;	104404;	1741756444.000;	  err32
20250312;	104408;	1741756448.000;	  err32
20250312;	104412;	1741756452.000;	  err32
20250312;	104416;	1741756456.000;	  err32
20250312;	104420;	1741756460.000;	  err32
20250312;	104424;	1741756464.000;	  err32
