#ies_format_version: 1.0
#file: 20250311_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	SHORT,7. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250311;	135512;	1741681512.000;	      0
20250311;	135516;	1741681516.000;	      0
20250311;	135520;	1741681520.000;	      0
20250311;	135524;	1741681524.000;	      0
20250311;	135528;	1741681528.000;	      0
20250311;	135532;	1741681532.000;	      0
20250311;	135536;	1741681536.000;	      0
20250311;	135540;	1741681540.000;	      0
20250311;	135544;	1741681544.000;	      0
20250311;	135548;	1741681548.000;	      0
20250311;	135552;	1741681552.000;	      0
20250311;	135556;	1741681556.000;	      0
20250311;	135600;	1741681560.000;	      0
20250311;	135604;	1741681564.000;	      0
20250311;	135608;	1741681568.000;	      0
20250311;	135612;	1741681572.000;	      0
20250311;	135616;	1741681576.000;	      0
20250311;	135620;	1741681580.000;	      0
20250311;	135624;	1741681584.000;	      0
20250311;	135628;	1741681588.000;	      0
20250311;	135632;	1741681592.000;	      0
20250311;	135636;	1741681596.000;	      0
20250311;	135640;	1741681600.000;	      0
20250311;	135644;	1741681604.000;	      0
20250311;	135648;	1741681608.000;	      0
20250311;	135652;	1741681612.000;	      0
20250311;	135656;	1741681616.000;	      0
20250311;	135700;	1741681620.000;	      0
20250311;	135704;	1741681624.000;	      0
20250311;	135708;	1741681628.000;	      0
20250311;	135712;	1741681632.000;	      0
20250311;	135716;	1741681636.000;	      0
20250311;	135720;	1741681640.000;	      0
20250311;	135724;	1741681644.000;	      0
