#ies_format_version: 1.0
#file: 20250313_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	SHORT,7. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250313;	110648;	1741844208.000;	   err7
20250313;	110652;	1741844212.000;	      0
20250313;	110656;	1741844216.000;	   1235
20250313;	110700;	1741844220.000;	  err32
20250313;	110704;	1741844224.000;	  err32
20250313;	110708;	1741844228.000;	  err32
20250313;	110712;	1741844232.000;	  err32
20250313;	110716;	1741844236.000;	  err32
20250313;	110720;	1741844240.000;	  err32
20250313;	110724;	1741844244.000;	  err32
20250313;	110728;	1741844248.000;	  err32
20250313;	110732;	1741844252.000;	  err32
20250313;	110736;	1741844256.000;	  err32
20250313;	110740;	1741844260.000;	  err32
20250313;	110744;	1741844264.000;	  err32
20250313;	110748;	1741844268.000;	  err32
20250313;	110752;	1741844272.000;	  err32
20250313;	110756;	1741844276.000;	  err32
20250313;	110800;	1741844280.000;	  err32
20250313;	110804;	1741844284.000;	  err32
20250313;	110808;	1741844288.000;	  err32
20250313;	110812;	1741844292.000;	  err32
20250313;	110816;	1741844296.000;	  err32
20250313;	110820;	1741844300.000;	  err32
20250313;	110824;	1741844304.000;	  err32
20250313;	110828;	1741844308.000;	  err32
20250313;	110832;	1741844312.000;	  err32
20250313;	110836;	1741844316.000;	  err32
20250313;	110840;	1741844320.000;	  err32
20250313;	110844;	1741844324.000;	  err32
20250313;	110848;	1741844328.000;	  err32
20250313;	110852;	1741844332.000;	  err32
20250313;	110856;	1741844336.000;	  err32
20250313;	110900;	1741844340.000;	  err32
20250313;	110904;	1741844344.000;	  err32
20250313;	110908;	1741844348.000;	  err32
20250313;	110912;	1741844352.000;	  err32
20250313;	110916;	1741844356.000;	  err32
20250313;	110920;	1741844360.000;	  err32
20250313;	110924;	1741844364.000;	  err32
20250313;	110928;	1741844368.000;	  err32
20250313;	110932;	1741844372.000;	  err32
20250313;	110936;	1741844376.000;	  err32
20250313;	110940;	1741844380.000;	  err32
20250313;	110944;	1741844384.000;	  err32
20250313;	110948;	1741844388.000;	  err32
20250313;	110952;	1741844392.000;	  err32
20250313;	110956;	1741844396.000;	  err32
20250313;	111000;	1741844400.000;	  err32
20250313;	111004;	1741844404.000;	  err32
20250313;	111008;	1741844408.000;	  err32
20250313;	111012;	1741844412.000;	  err32
20250313;	111016;	1741844416.000;	  err32
20250313;	111020;	1741844420.000;	  err32
20250313;	111024;	1741844424.000;	  err32
20250313;	111028;	1741844428.000;	  err32
20250313;	111032;	1741844432.000;	  err32
20250313;	111036;	1741844436.000;	  err32
20250313;	111040;	1741844440.000;	  err32
20250313;	111044;	1741844444.000;	  err32
20250313;	111048;	1741844448.000;	  err32
20250313;	111052;	1741844452.000;	  err32
20250313;	111056;	1741844456.000;	  err32
20250313;	111100;	1741844460.000;	  err32
20250313;	111104;	1741844464.000;	  err32
20250313;	111108;	1741844468.000;	  err32
20250313;	111112;	1741844472.000;	  err32
20250313;	111116;	1741844476.000;	  err32
20250313;	111120;	1741844480.000;	  err32
20250313;	111124;	1741844484.000;	  err32
20250313;	111128;	1741844488.000;	  err32
20250313;	111132;	1741844492.000;	  err32
20250313;	111136;	1741844496.000;	  err32
20250313;	111140;	1741844500.000;	  err32
20250313;	111144;	1741844504.000;	  err32
20250313;	111148;	1741844508.000;	  err32
20250313;	111152;	1741844512.000;	  err32
20250313;	111156;	1741844516.000;	  err32
20250313;	111200;	1741844520.000;	  err32
20250313;	111204;	1741844524.000;	  err32
20250313;	111208;	1741844528.000;	  err32
20250313;	111212;	1741844532.000;	  err32
20250313;	111216;	1741844536.000;	  err32
20250313;	111220;	1741844540.000;	  err32
20250313;	111224;	1741844544.000;	  err32
20250313;	111228;	1741844548.000;	  err32
20250313;	111232;	1741844552.000;	  err32
20250313;	111236;	1741844556.000;	  err32
20250313;	111240;	1741844560.000;	  err32
20250313;	111244;	1741844564.000;	  err32
20250313;	111248;	1741844568.000;	  err32
20250313;	111252;	1741844572.000;	  err32
