#ies_format_version: 1.0
#file: 20250317_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	SHORT,7. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250317;	105508;	1742189108.000;	   err7
20250317;	105512;	1742189112.000;	   err7
20250317;	105516;	1742189116.000;	   err7
20250317;	105520;	1742189120.000;	   err7
20250317;	105524;	1742189124.000;	   1237
20250317;	105528;	1742189128.000;	   1238
20250317;	105532;	1742189132.000;	   1239
20250317;	105536;	1742189136.000;	   1240
20250317;	105540;	1742189140.000;	   1240
20250317;	105544;	1742189144.000;	   1241
20250317;	105548;	1742189148.000;	   1242
20250317;	105552;	1742189152.000;	   1243
20250317;	105556;	1742189156.000;	   1244
20250317;	105600;	1742189160.000;	   1244
20250317;	105604;	1742189164.000;	   1245
20250317;	105608;	1742189168.000;	   1246
20250317;	105612;	1742189172.000;	   1247
20250317;	105616;	1742189176.000;	   1248
20250317;	105620;	1742189180.000;	   1248
20250317;	105624;	1742189184.000;	   1249
20250317;	105628;	1742189188.000;	   1250
20250317;	105632;	1742189192.000;	   1251
20250317;	105636;	1742189196.000;	   1252
20250317;	105640;	1742189200.000;	   1252
20250317;	105644;	1742189204.000;	   1253
20250317;	105648;	1742189208.000;	   1254
20250317;	105652;	1742189212.000;	   1255
20250317;	105656;	1742189216.000;	   1255
20250317;	105700;	1742189220.000;	   1256
20250317;	105704;	1742189224.000;	   1257
20250317;	105708;	1742189228.000;	   1258
20250317;	105712;	1742189232.000;	   1259
20250317;	105716;	1742189236.000;	   1260
20250317;	105720;	1742189240.000;	   1260
20250317;	105724;	1742189244.000;	   1261
20250317;	105728;	1742189248.000;	   1262
20250317;	105732;	1742189252.000;	   1263
20250317;	105736;	1742189256.000;	   1264
20250317;	105740;	1742189260.000;	   1264
20250317;	105744;	1742189264.000;	   1265
20250317;	105748;	1742189268.000;	   1266
20250317;	105752;	1742189272.000;	   1267
20250317;	105756;	1742189276.000;	   1268
20250317;	105800;	1742189280.000;	   1268
20250317;	105804;	1742189284.000;	   1269
20250317;	105808;	1742189288.000;	   1270
20250317;	105812;	1742189292.000;	   1271
20250317;	105816;	1742189296.000;	   1272
20250317;	105820;	1742189300.000;	   1272
20250317;	105824;	1742189304.000;	   1273
20250317;	105828;	1742189308.000;	   1274
20250317;	105832;	1742189312.000;	   1275
20250317;	105836;	1742189316.000;	   1276
20250317;	105840;	1742189320.000;	   1276
20250317;	105844;	1742189324.000;	   1277
20250317;	105848;	1742189328.000;	   1278
20250317;	105852;	1742189332.000;	   1279
20250317;	105856;	1742189336.000;	   1280
20250317;	105900;	1742189340.000;	   1280
20250317;	105904;	1742189344.000;	   1281
20250317;	105908;	1742189348.000;	   1282
20250317;	105912;	1742189352.000;	   1283
20250317;	105916;	1742189356.000;	   1283
20250317;	105920;	1742189360.000;	   1284
20250317;	105924;	1742189364.000;	  err32
20250317;	105928;	1742189368.000;	  err32
20250317;	105932;	1742189372.000;	  err32
20250317;	105936;	1742189376.000;	  err32
20250317;	105940;	1742189380.000;	  err32
20250317;	105944;	1742189384.000;	  err32
20250317;	105948;	1742189388.000;	  err32
20250317;	105952;	1742189392.000;	  err32
20250317;	105956;	1742189396.000;	  err32
20250317;	110000;	1742189400.000;	  err32
20250317;	110004;	1742189404.000;	  err32
20250317;	110008;	1742189408.000;	  err32
20250317;	110012;	1742189412.000;	  err32
20250317;	110016;	1742189416.000;	  err32
20250317;	110020;	1742189420.000;	  err32
20250317;	110024;	1742189424.000;	  err32
20250317;	110028;	1742189428.000;	  err32
20250317;	110032;	1742189432.000;	  err32
20250317;	110036;	1742189436.000;	  err32
20250317;	110040;	1742189440.000;	  err32
20250317;	110044;	1742189444.000;	  err32
20250317;	110048;	1742189448.000;	  err32
20250317;	110052;	1742189452.000;	  err32
20250317;	110056;	1742189456.000;	  err32
20250317;	110100;	1742189460.000;	  err32
20250317;	110104;	1742189464.000;	  err32
20250317;	110108;	1742189468.000;	  err32
20250317;	110112;	1742189472.000;	  err32
20250317;	110116;	1742189476.000;	  err32
20250317;	110120;	1742189480.000;	  err32
20250317;	110124;	1742189484.000;	  err32
20250317;	110128;	1742189488.000;	  err32
20250317;	110132;	1742189492.000;	  err32
20250317;	110136;	1742189496.000;	  err32
20250317;	110140;	1742189500.000;	  err32
20250317;	110144;	1742189504.000;	  err32
20250317;	110148;	1742189508.000;	  err32
20250317;	110152;	1742189512.000;	  err32
20250317;	110156;	1742189516.000;	  err32
20250317;	110200;	1742189520.000;	  err32
20250317;	110204;	1742189524.000;	  err32
20250317;	110208;	1742189528.000;	  err32
20250317;	110212;	1742189532.000;	  err32
20250317;	110216;	1742189536.000;	  err32
20250317;	110220;	1742189540.000;	  err32
20250317;	110224;	1742189544.000;	  err32
20250317;	110228;	1742189548.000;	  err32
20250317;	110232;	1742189552.000;	  err32
20250317;	110236;	1742189556.000;	  err32
20250317;	110240;	1742189560.000;	  err32
20250317;	110244;	1742189564.000;	  err32
20250317;	110248;	1742189568.000;	  err32
20250317;	110252;	1742189572.000;	  err32
20250317;	110256;	1742189576.000;	  err32
20250317;	110300;	1742189580.000;	  err32
20250317;	110304;	1742189584.000;	  err32
20250317;	110308;	1742189588.000;	  err32
20250317;	110312;	1742189592.000;	  err32
20250317;	110316;	1742189596.000;	  err32
20250317;	110320;	1742189600.000;	  err32
20250317;	110324;	1742189604.000;	  err32
20250317;	110328;	1742189608.000;	  err32
20250317;	110332;	1742189612.000;	  err32
20250317;	110336;	1742189616.000;	  err32
20250317;	110340;	1742189620.000;	  err32
20250317;	110344;	1742189624.000;	  err32
20250317;	110348;	1742189628.000;	  err32
20250317;	110352;	1742189632.000;	  err32
20250317;	110356;	1742189636.000;	  err32
20250317;	110400;	1742189640.000;	  err32
20250317;	110404;	1742189644.000;	  err32
20250317;	110408;	1742189648.000;	  err32
20250317;	110412;	1742189652.000;	  err32
20250317;	110416;	1742189656.000;	  err32
20250317;	110420;	1742189660.000;	  err32
20250317;	110424;	1742189664.000;	  err32
20250317;	110428;	1742189668.000;	  err32
20250317;	110432;	1742189672.000;	  err32
20250317;	110436;	1742189676.000;	  err32
20250317;	110440;	1742189680.000;	  err32
20250317;	110444;	1742189684.000;	  err32
20250317;	110448;	1742189688.000;	  err32
20250317;	110452;	1742189692.000;	  err32
20250317;	110456;	1742189696.000;	  err32
20250317;	110500;	1742189700.000;	  err32
20250317;	110504;	1742189704.000;	  err32
20250317;	110508;	1742189708.000;	  err32
20250317;	110512;	1742189712.000;	  err32
20250317;	110516;	1742189716.000;	  err32
20250317;	110520;	1742189720.000;	  err32
20250317;	110524;	1742189724.000;	  err32
20250317;	110528;	1742189728.000;	  err32
20250317;	110532;	1742189732.000;	  err32
20250317;	110536;	1742189736.000;	  err32
20250317;	110540;	1742189740.000;	  err32
20250317;	110544;	1742189744.000;	  err32
20250317;	110548;	1742189748.000;	  err32
20250317;	110552;	1742189752.000;	  err32
20250317;	110556;	1742189756.000;	  err32
20250317;	110600;	1742189760.000;	  err32
20250317;	110604;	1742189764.000;	  err32
20250317;	110608;	1742189768.000;	  err32
20250317;	110612;	1742189772.000;	  err32
20250317;	110616;	1742189776.000;	  err32
20250317;	110620;	1742189780.000;	  err32
20250317;	110624;	1742189784.000;	  err32
20250317;	110628;	1742189788.000;	  err32
20250317;	110632;	1742189792.000;	  err32
20250317;	110636;	1742189796.000;	  err32
20250317;	110640;	1742189800.000;	  err32
20250317;	110644;	1742189804.000;	  err32
20250317;	110648;	1742189808.000;	  err32
20250317;	110652;	1742189812.000;	  err32
20250317;	110656;	1742189816.000;	  err32
20250317;	110700;	1742189820.000;	  err32
20250317;	110704;	1742189824.000;	  err32
20250317;	110708;	1742189828.000;	  err32
20250317;	110712;	1742189832.000;	  err32
20250317;	110716;	1742189836.000;	  err32
20250317;	110720;	1742189840.000;	  err32
20250317;	110724;	1742189844.000;	  err32
20250317;	110728;	1742189848.000;	  err32
20250317;	110732;	1742189852.000;	  err32
20250317;	110736;	1742189856.000;	  err32
20250317;	110740;	1742189860.000;	  err32
20250317;	110744;	1742189864.000;	  err32
20250317;	110748;	1742189868.000;	  err32
20250317;	110752;	1742189872.000;	  err32
20250317;	110756;	1742189876.000;	  err32
20250317;	110800;	1742189880.000;	  err32
20250317;	110804;	1742189884.000;	  err32
20250317;	110808;	1742189888.000;	  err32
20250317;	110812;	1742189892.000;	  err32
20250317;	110816;	1742189896.000;	  err32
20250317;	110820;	1742189900.000;	  err32
20250317;	110824;	1742189904.000;	  err32
20250317;	110828;	1742189908.000;	  err32
20250317;	110832;	1742189912.000;	  err32
20250317;	110836;	1742189916.000;	  err32
20250317;	110840;	1742189920.000;	  err32
20250317;	110844;	1742189924.000;	  err32
20250317;	110848;	1742189928.000;	  err32
20250317;	110852;	1742189932.000;	  err32
20250317;	110856;	1742189936.000;	  err32
20250317;	110900;	1742189940.000;	  err32
20250317;	110904;	1742189944.000;	  err32
20250317;	110908;	1742189948.000;	  err32
20250317;	110912;	1742189952.000;	  err32
20250317;	110916;	1742189956.000;	  err32
20250317;	110920;	1742189960.000;	  err32
20250317;	110924;	1742189964.000;	  err32
20250317;	110928;	1742189968.000;	  err32
20250317;	110932;	1742189972.000;	  err32
20250317;	110936;	1742189976.000;	  err32
20250317;	110940;	1742189980.000;	  err32
20250317;	110944;	1742189984.000;	  err32
20250317;	110948;	1742189988.000;	  err32
20250317;	110952;	1742189992.000;	  err32
20250317;	110956;	1742189996.000;	  err32
20250317;	111000;	1742190000.000;	  err32
20250317;	111004;	1742190004.000;	  err32
20250317;	111008;	1742190008.000;	  err32
20250317;	111012;	1742190012.000;	  err32
20250317;	111016;	1742190016.000;	  err32
20250317;	111016;	1742190016.000;	  err17
20250317;	111020;	1742190020.000;	   1285
20250317;	111024;	1742190024.000;	   1235
20250317;	111028;	1742190028.000;	   1236
20250317;	111032;	1742190032.000;	   1237
20250317;	111036;	1742190036.000;	   1238
20250317;	111040;	1742190040.000;	   1238
20250317;	111044;	1742190044.000;	   1239
20250317;	111048;	1742190048.000;	   1240
20250317;	111052;	1742190052.000;	   1241
20250317;	111056;	1742190056.000;	   1242
