#ies_format_version: 1.0
#file: 20250310_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	SHORT,7. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250310;	153416;	1741601056.000;	      0
20250310;	153420;	1741601060.000;	      0
20250310;	153424;	1741601064.000;	      0
20250310;	153428;	1741601068.000;	      0
20250310;	153432;	1741601072.000;	      0
20250310;	153436;	1741601076.000;	      0
20250310;	153440;	1741601080.000;	      0
20250310;	153444;	1741601084.000;	      0
20250310;	153448;	1741601088.000;	      0
20250310;	153452;	1741601092.000;	      0
20250310;	153456;	1741601096.000;	      0
20250310;	153500;	1741601100.000;	      0
20250310;	153504;	1741601104.000;	      0
20250310;	153508;	1741601108.000;	      0
20250310;	153512;	1741601112.000;	      0
20250310;	153516;	1741601116.000;	      0
20250310;	153520;	1741601120.000;	      0
20250310;	153524;	1741601124.000;	      0
20250310;	153528;	1741601128.000;	      0
20250310;	153532;	1741601132.000;	      0
20250310;	153536;	1741601136.000;	      0
20250310;	153540;	1741601140.000;	      0
20250310;	153544;	1741601144.000;	      0
20250310;	153548;	1741601148.000;	      0
20250310;	153552;	1741601152.000;	      0
20250310;	153556;	1741601156.000;	      0
20250310;	153600;	1741601160.000;	      0
20250310;	153604;	1741601164.000;	      0
20250310;	153608;	1741601168.000;	      0
20250310;	153612;	1741601172.000;	      0
20250310;	153616;	1741601176.000;	      0
20250310;	153620;	1741601180.000;	      0
20250310;	153624;	1741601184.000;	      0
20250310;	153628;	1741601188.000;	      0
20250310;	153632;	1741601192.000;	      0
20250310;	153636;	1741601196.000;	      0
20250310;	153640;	1741601200.000;	      0
20250310;	153644;	1741601204.000;	      0
20250310;	153648;	1741601208.000;	      0
20250310;	153652;	1741601212.000;	      0
20250310;	153656;	1741601216.000;	      0
20250310;	153700;	1741601220.000;	      0
20250310;	153704;	1741601224.000;	      0
20250310;	153708;	1741601228.000;	      0
20250310;	153712;	1741601232.000;	      0
20250310;	153716;	1741601236.000;	      0
20250310;	153720;	1741601240.000;	      0
20250310;	153724;	1741601244.000;	      0
20250310;	153728;	1741601248.000;	      0
20250310;	153732;	1741601252.000;	      0
20250310;	153736;	1741601256.000;	      0
20250310;	153740;	1741601260.000;	      0
20250310;	153744;	1741601264.000;	      0
20250310;	153748;	1741601268.000;	      0
20250310;	153752;	1741601272.000;	      0
20250310;	153756;	1741601276.000;	      0
20250310;	153800;	1741601280.000;	      0
20250310;	153804;	1741601284.000;	      0
20250310;	153808;	1741601288.000;	      0
20250310;	153812;	1741601292.000;	      0
20250310;	153816;	1741601296.000;	      0
20250310;	153820;	1741601300.000;	      0
20250310;	153824;	1741601304.000;	      0
20250310;	153828;	1741601308.000;	      0
20250310;	153832;	1741601312.000;	      0
20250310;	153836;	1741601316.000;	      0
20250310;	153840;	1741601320.000;	      0
20250310;	153844;	1741601324.000;	      0
20250310;	153848;	1741601328.000;	      0
20250310;	153852;	1741601332.000;	      0
20250310;	153856;	1741601336.000;	      0
20250310;	153900;	1741601340.000;	      0
20250310;	153904;	1741601344.000;	      0
20250310;	153908;	1741601348.000;	      0
20250310;	153912;	1741601352.000;	      0
20250310;	153916;	1741601356.000;	      0
20250310;	153920;	1741601360.000;	      0
